date,description,amount,type
2025-12-01,Rent Payment,1250.00,expense
2025-12-01,Salary,2850.00,income
2025-12-02,Tesco Groceries,62.34,expense
2025-12-03,Netflix Subscription,10.99,expense
2025-12-04,Christmas Gifts - John Lewis,85.00,expense
2025-12-05,Costa Coffee,4.35,expense
2025-12-06,Council Tax,158.00,expense
2025-12-07,Spotify Premium,10.99,expense
2025-12-08,Shell Petrol Station,61.20,expense
2025-12-09,Christmas Tree,45.00,expense
2025-12-10,Gym Membership,34.99,expense
2025-12-11,Sainsburys,45.10,expense
2025-12-12,Secret Santa Gift,20.00,expense
2025-12-13,Christmas Market,32.50,expense
2025-12-14,Wrapping Paper & Cards,18.50,expense
2025-12-15,Freelance Invoice,450.00,income
2025-12-16,Lidl Groceries,38.90,expense
2025-12-17,Christmas Drinks Out,45.00,expense
2025-12-18,Amazon Gifts,125.00,expense
2025-12-19,EE Mobile,28.00,expense
2025-12-20,Tesco Christmas Shop,98.70,expense
2025-12-22,British Gas Electric,125.00,expense
2025-12-23,Water Bill,32.00,expense
2025-12-24,M&S Food Christmas Eve,76.50,expense
2025-12-26,Boxing Day Sales,54.00,expense
2025-12-27,Deliveroo,23.40,expense
2025-12-28,Train to Visit Family,56.00,expense
2025-12-29,Aldi Groceries,31.20,expense
2025-12-30,New Year Party Supplies,32.00,expense
