date,description,amount,type
2026-01-01,Rent Payment,1250.00,expense
2026-01-01,Salary,2850.00,income
2026-01-02,Tesco Groceries,41.20,expense
2026-01-03,Netflix Subscription,10.99,expense
2026-01-04,Gym Membership,34.99,expense
2026-01-05,Dry January Mocktails,12.50,expense
2026-01-06,Council Tax,158.00,expense
2026-01-07,Shell Petrol Station,55.40,expense
2026-01-08,Spotify Premium,10.99,expense
2026-01-09,Sainsburys,36.50,expense
2026-01-10,Costa Coffee,3.95,expense
2026-01-12,EE Mobile,28.00,expense
2026-01-13,Lidl Groceries,28.70,expense
2026-01-14,Amazon Returns Refund,85.00,income
2026-01-15,Freelance Invoice,450.00,income
2026-01-16,Boots Pharmacy,9.80,expense
2026-01-17,Greggs,5.20,expense
2026-01-19,British Gas Electric,98.00,expense
2026-01-20,Water Bill,32.00,expense
2026-01-21,Tesco Groceries,47.80,expense
2026-01-22,Haircut,25.00,expense
2026-01-23,Pret A Manger,7.10,expense
2026-01-24,Train Tickets,28.90,expense
2026-01-26,Aldi Groceries,31.50,expense
2026-01-27,New Running Shoes,79.99,expense
2026-01-28,Nandos,19.50,expense
2026-01-30,Car Insurance Renewal,345.00,expense
