date,description,amount,type
2024-01-01,Wagamama,21.89,expense
2024-01-01,Apple iCloud,2.99,expense
2024-01-01,Pharmacy,20.11,expense
2024-01-01,BT Broadband,38.79,expense
2024-01-01,Cinema,19.79,expense
2024-01-01,Ryanair,96.38,expense
2024-01-01,Dividend Payment,71.11,income
2024-01-01,Lidl,16.49,expense
2024-01-01,KFC,12.50,expense
2024-01-01,Ryanair,52.99,expense
2024-01-01,Sainsburys,52.97,expense
2024-01-01,Deliveroo,32.51,expense
2024-01-01,Home Insurance,33.37,expense
2024-01-02,Pub / Bar,31.54,expense
2024-01-02,Waitrose,45.57,expense
2024-01-02,Optician,143.75,expense
2024-01-02,Council Tax,181.27,expense
2024-01-02,Deliveroo,26.28,expense
2024-01-02,Superdrug,14.78,expense
2024-01-02,Trainline,54.34,expense
2024-01-02,Sainsburys,49.47,expense
2024-01-02,Dentist,43.89,expense
2024-01-02,Just Eat,19.28,expense
2024-01-02,Starbucks,4.45,expense
2024-01-02,Spotify,10.99,expense
2024-01-02,Starbucks,6.63,expense
2024-01-02,Dentist,23.32,expense
2024-01-02,Dividend Payment,115.65,income
2024-01-02,Esso Fuel,75.49,expense
2024-01-02,Optician,151.69,expense
2024-01-02,Pizza Express,40.49,expense
2024-01-02,Home Insurance,33.00,expense
2024-01-03,Rent Payment,1215.67,expense
2024-01-03,eBay Purchase,84.24,expense
2024-01-03,Just Eat,24.65,expense
2024-01-03,Wagamama,14.10,expense
2024-01-03,Greggs,2.42,expense
2024-01-03,Bank Interest,28.15,income
2024-01-03,Salary,3371.36,income
2024-01-03,Disney+,7.99,expense
2024-01-03,Apple iCloud,2.99,expense
2024-01-03,Currys,163.01,expense
2024-01-03,TfL Travel,5.41,expense
2024-01-03,EE Mobile,33.27,expense
2024-01-03,KFC,5.25,expense
2024-01-03,Shell Fuel,67.17,expense
2024-01-04,Wagamama,25.62,expense
2024-01-04,Gym Membership,37.01,expense
2024-01-04,Premier Inn,66.32,expense
2024-01-04,Waitrose,145.69,expense
2024-01-04,McDonalds,5.61,expense
2024-01-04,Premier Inn,64.96,expense
2024-01-04,Nandos,27.64,expense
2024-01-04,Cinema,11.18,expense
2024-01-04,Just Eat,28.37,expense
2024-01-04,Boots,29.65,expense
2024-01-04,Gas & Electric,123.30,expense
2024-01-04,Boots,27.66,expense
2024-01-04,TfL Travel,7.65,expense
2024-01-04,Pub / Bar,11.61,expense
2024-01-05,Wagamama,29.51,expense
2024-01-05,Lidl,42.30,expense
2024-01-05,Premier Inn,62.15,expense
2024-01-05,Shell Fuel,54.75,expense
2024-01-05,Cashback,12.29,income
2024-01-05,Esso Fuel,56.82,expense
2024-01-05,O2 Mobile,33.33,expense
2024-01-05,YouTube Premium,12.99,expense
2024-01-05,Gas & Electric,150.49,expense
2024-01-05,ASOS,37.33,expense
2024-01-06,Uber Eats,33.56,expense
2024-01-06,Gas & Electric,108.55,expense
2024-01-06,Uber Eats,31.86,expense
2024-01-06,Pizza Express,25.98,expense
2024-01-06,YouTube Premium,12.99,expense
2024-01-06,Water Bill,31.65,expense
2024-01-06,Disney+,7.99,expense
2024-01-06,Netflix,10.99,expense
2024-01-06,Water Bill,38.27,expense
2024-01-06,Superdrug,5.85,expense
2024-01-07,McDonalds,11.98,expense
2024-01-07,Deliveroo,26.51,expense
2024-01-07,Disney+,7.99,expense
2024-01-07,Pret A Manger,8.08,expense
2024-01-07,EE Mobile,44.37,expense
2024-01-07,Pub / Bar,28.95,expense
2024-01-07,Waitrose,80.47,expense
2024-01-07,Uber,23.13,expense
2024-01-07,Netflix,10.99,expense
2024-01-07,Boots,7.04,expense
2024-01-07,Just Eat,20.31,expense
2024-01-07,Premier Inn,73.42,expense
2024-01-07,eBay Purchase,26.75,expense
2024-01-07,Sainsburys,109.35,expense
2024-01-07,Cinema,18.30,expense
2024-01-07,Pharmacy,28.48,expense
2024-01-07,BT Broadband,38.41,expense
2024-01-07,YouTube Premium,12.99,expense
2024-01-07,Sainsburys,62.14,expense
2024-01-07,ASOS,37.41,expense
2024-01-07,Greggs,6.61,expense
2024-01-08,Dividend Payment,21.19,income
2024-01-08,Rent Payment,1174.03,expense
2024-01-08,EE Mobile,34.83,expense
2024-01-08,Sainsburys,65.09,expense
2024-01-08,EE Mobile,37.25,expense
2024-01-08,Council Tax,152.46,expense
2024-01-08,Cashback,10.04,income
2024-01-08,National Rail,51.12,expense
2024-01-08,Costa Coffee,3.34,expense
2024-01-09,Dividend Payment,61.55,income
2024-01-09,Water Bill,36.69,expense
2024-01-09,Uber Eats,13.48,expense
2024-01-09,Greggs,4.29,expense
2024-01-09,Superdrug,5.41,expense
2024-01-09,Ryanair,37.28,expense
2024-01-09,Dentist,69.72,expense
2024-01-09,Apple iCloud,2.99,expense
2024-01-09,TfL Travel,3.13,expense
2024-01-09,eBay Purchase,60.89,expense
2024-01-09,eBay Purchase,52.71,expense
2024-01-09,Boots,27.79,expense
2024-01-10,Pizza Express,44.46,expense
2024-01-10,Tesco,94.69,expense
2024-01-10,Pub / Bar,21.72,expense
2024-01-10,Pharmacy,17.82,expense
2024-01-10,Costa Coffee,5.71,expense
2024-01-10,Water Bill,41.66,expense
2024-01-10,EE Mobile,44.05,expense
2024-01-10,Amazon,191.69,expense
2024-01-10,Esso Fuel,45.60,expense
2024-01-10,Car Insurance,46.74,expense
2024-01-10,Premier Inn,62.89,expense
2024-01-10,Superdrug,13.90,expense
2024-01-11,Just Eat,29.28,expense
2024-01-11,Uber Eats,21.05,expense
2024-01-11,O2 Mobile,39.15,expense
2024-01-11,Council Tax,189.76,expense
2024-01-11,KFC,12.30,expense
2024-01-11,TfL Travel,4.58,expense
2024-01-11,ASOS,70.99,expense
2024-01-11,Currys,246.36,expense
2024-01-11,eBay Purchase,36.29,expense
2024-01-11,Wagamama,30.87,expense
2024-01-11,Home Insurance,31.27,expense
2024-01-11,Apple iCloud,2.99,expense
2024-01-11,Netflix,10.99,expense
2024-01-11,Superdrug,17.40,expense
2024-01-11,Nandos,15.15,expense
2024-01-11,Pret A Manger,5.90,expense
2024-01-11,Apple iCloud,2.99,expense
2024-01-11,John Lewis,225.51,expense
2024-01-12,Starbucks,7.41,expense
2024-01-12,Greggs,4.20,expense
2024-01-12,Superdrug,6.37,expense
2024-01-12,Ryanair,98.29,expense
2024-01-12,Wagamama,15.31,expense
2024-01-12,John Lewis,48.62,expense
2024-01-12,Nandos,22.64,expense
2024-01-12,Boots,33.18,expense
2024-01-12,Superdrug,10.88,expense
2024-01-13,Cinema,14.90,expense
2024-01-13,ASOS,23.58,expense
2024-01-13,Water Bill,37.28,expense
2024-01-13,Uber,20.93,expense
2024-01-13,Netflix,10.99,expense
2024-01-13,Disney+,7.99,expense
2024-01-13,Netflix,10.99,expense
2024-01-13,Ryanair,75.20,expense
2024-01-13,Superdrug,5.61,expense
2024-01-13,ASOS,73.03,expense
2024-01-13,John Lewis,246.25,expense
2024-01-13,Home Insurance,33.89,expense
2024-01-13,KFC,9.40,expense
